# mc.dat
               # M             media            stddev
                10             3.132          0.202425
                20             3.148          0.125284
                30           3.19067          0.169291
                40             3.178          0.173194
                50             3.132          0.181593
                60           3.13867          0.148318
                70           3.17314          0.168316
                80            3.1055          0.190183
                90           3.14844          0.178113
